Line,LineKey,LineClass,Actual,Budget,LY,YTD Actual,YTD Budget,YTD LY
Retail Sales,10,Detail,3867715,3790488,3764101,33305485,32634402,32102748
Wholesale Sales,20,Detail,3267163,3197297,3144756,27871693,27311489,26920326
Online Sales,30,Detail,291507,284637,280126,2495644,2444518,2401955
Delivery & Freight Income,40,Detail,63119,60707,61823,537168,526763,517100
Total Income,50,Subtotal,7489504,7333129,7250806,64209990,62917172,61942129
Cost of Goods - Retail,60,Detail,-2209165,-2133788,-2121518,-18852336,-18490036,-18186898
Cost of Goods - Wholesale,70,Detail,-2039976,-1967238,-1958259,-17357024,-17017266,-16774209
Cost of Goods - Online,80,Detail,-182030,-176083,-174555,-1554363,-1525396,-1496639
Freight Inwards,90,Detail,-147382,-139489,-141360,-1165713,-1143413,-1131213
Stock Adjustments,100,Detail,-29766,-27591,-27694,-233049,-229524,-225512
Total Cost of Sales,110,Subtotal,-4608319,-4444189,-4423386,-39162485,-38405635,-37814471
Gross Profit,120,Total,2881185,2888940,2827420,25047505,24511537,24127658
Salaries & Wages - Stores,130,Detail,-792450,-771291,-773394,-6797340,-6629353,-6528785
Salaries & Wages - Warehouse,140,Detail,-306569,-283949,-279511,-2553501,-2455908,-2384661
Superannuation,150,Detail,-116328,-114802,-113634,-1028450,-998824,-990713
Rent & Outgoings,160,Detail,-397574,-376465,-379491,-3354962,-3316521,-3240836
Utilities,170,Detail,-58338,-58259,-57511,-506576,-498793,-492049
Marketing & Advertising,180,Detail,-215589,-215400,-217656,-1903004,-1860104,-1859521
Insurance,190,Detail,-28377,-29728,-29746,-254404,-250582,-247847
Vehicle & Delivery Costs,200,Detail,-154569,-145381,-149568,-1304416,-1276060,-1271102
Repairs & Maintenance,210,Detail,-37585,-36487,-36015,-318896,-311303,-305127
IT & Software,220,Detail,-44898,-43504,-44054,-385423,-374571,-368820
Merchant & Bank Fees,230,Detail,-46202,-44873,-45065,-394098,-386869,-380728
Depreciation,240,Detail,-68049,-65459,-63831,-575651,-558049,-552696
Other Expenses,250,Detail,-44418,-43618,-44728,-383927,-374057,-367984
Total Operating Expenses,260,Subtotal,-2310946,-2229216,-2234204,-19760648,-19290994,-18990869
Net Profit,270,Total,570239,659724,593216,5286857,5220543,5136789
