Year,Month,Month Offset,Month Selected,Income Act,Income LY,COGS Act,COGS LY,GP Act,GP LY,Opex Act,Opex LY,NP Act,NP LY
2025,1,-20,0,6574009,6314489,-3969910,-3872327,2604099,2442162,-2044889,-1966673,559210,475489
2025,2,-19,0,5951839,5924266,-3609228,-3579632,2342611,2344634,-1835033,-1821860,507578,522774
2025,3,-18,0,7416854,7120732,-4546663,-4328690,2870191,2792042,-2268450,-2178431,601741,613611
2025,4,-17,0,7126493,6849002,-4357703,-4158299,2768790,2690703,-2191348,-2098007,577442,592696
2025,5,-16,0,7760666,7430772,-4708567,-4567462,3052099,2863310,-2413937,-2249125,638162,614185
2025,6,-15,0,7905266,7642470,-4839043,-4690884,3066223,2951586,-2400674,-2359295,665549,592291
2025,7,-14,0,6939914,6696903,-4270521,-4131671,2669393,2565232,-2141309,-2055931,528084,509301
2025,8,-13,0,7045445,6712689,-4252531,-4062120,2792914,2650569,-2154062,-2027343,638852,623226
2025,9,-12,0,7489504,7250806,-4608319,-4423386,2881185,2827420,-2310946,-2234204,570239,593216
2025,10,-11,0,8120973,7798466,-4984045,-4712632,3136928,3085834,-2510443,-2399148,626485,686686
2025,11,-10,0,9467535,9050163,-5760792,-5494104,3706743,3556059,-2906328,-2831945,800415,724114
2025,12,-9,0,12370251,11942761,-7493525,-7300350,4876726,4642411,-3742294,-3713317,1134432,929094
