Line,P&L View,Amount,Trading Stores,Active Products
Total Income,Actual,7489504,28,2412
Total Cost of Sales,Actual,-4608319,28,2412
Gross Profit,Actual,2881185,28,2412
Total Operating Expenses,Actual,-2310946,28,2412
Net Profit,Actual,570239,28,2412
Total Income,LY,7250806,27,2297
Total Cost of Sales,LY,-4423386,27,2297
Gross Profit,LY,2827420,27,2297
Total Operating Expenses,LY,-2234204,27,2297
Net Profit,LY,593216,27,2297
Total Income,Budget,7333129,28,2450
Total Cost of Sales,Budget,-4444189,28,2450
Gross Profit,Budget,2888940,28,2450
Total Operating Expenses,Budget,-2229216,28,2450
Net Profit,Budget,659724,28,2450
Total Income,YTD Actual,64209990,28,2493
Total Cost of Sales,YTD Actual,-39162485,28,2493
Gross Profit,YTD Actual,25047505,28,2493
Total Operating Expenses,YTD Actual,-19760648,28,2493
Net Profit,YTD Actual,5286857,28,2493
Total Income,YTD LY,61942129,27,2384
Total Cost of Sales,YTD LY,-37814471,27,2384
Gross Profit,YTD LY,24127658,27,2384
Total Operating Expenses,YTD LY,-18990869,27,2384
Net Profit,YTD LY,5136789,27,2384
Total Income,YTD Budget,62917172,28,2500
Total Cost of Sales,YTD Budget,-38405635,28,2500
Gross Profit,YTD Budget,24511537,28,2500
Total Operating Expenses,YTD Budget,-19290994,28,2500
Net Profit,YTD Budget,5220543,28,2500
