"P&L Lines[Line]","P&L View[P&L View]","P&L View[Ordinal]","[Amount]","[Trading Stores]","[Active Products]"
"Gross Profit","Actual","0","3807592818.73","28","2500"
"Net Profit","Actual","0","798533400.310001","28","2500"
"Total Cost of Sales","Actual","0","-5983190885.48","28","2500"
"Total Income","Actual","0","9790783704.21","28","2500"
"Total Operating Expenses","Actual","0","-3009059418.42","28","2500"
"Gross Profit","LY","1","3664855221.3","28","2500"
"Net Profit","LY","1","772883566.959999","28","2500"
"Total Cost of Sales","LY","1","-5752019518.39","28","2500"
"Total Income","LY","1","9416874739.69","28","2500"
"Total Operating Expenses","LY","1","-2891971654.34","28","2500"
"Gross Profit","Budget","4","3732643985.81999","28","2500"
"Net Profit","Budget","4","786042513.419995","28","2500"
"Total Cost of Sales","Budget","4","-5863272330.1","28","2500"
"Total Income","Budget","4","9595916315.91999","28","2500"
"Total Operating Expenses","Budget","4","-2946601472.4","28","2500"
"Gross Profit","YTD Actual","7","3807592818.73","28","2500"
"Net Profit","YTD Actual","7","798533400.31","28","2500"
"Total Cost of Sales","YTD Actual","7","-5983190885.48","28","2500"
"Total Income","YTD Actual","7","9790783704.21","28","2500"
"Total Operating Expenses","YTD Actual","7","-3009059418.42","28","2500"
"Gross Profit","YTD LY","8","3664855221.3","28","2500"
"Net Profit","YTD LY","8","772883566.959999","28","2500"
"Total Cost of Sales","YTD LY","8","-5752019518.39","28","2500"
"Total Income","YTD LY","8","9416874739.69","28","2500"
"Total Operating Expenses","YTD LY","8","-2891971654.34","28","2500"
"Gross Profit","YTD Budget","11","3732643985.81999","28","2500"
"Net Profit","YTD Budget","11","786042513.419995","28","2500"
"Total Cost of Sales","YTD Budget","11","-5863272330.1","28","2500"
"Total Income","YTD Budget","11","9595916315.91999","28","2500"
"Total Operating Expenses","YTD Budget","11","-2946601472.4","28","2500"
