"Line","Item","Value"
"COGS % of Income","Actual","0.611104388191851"
"COGS % of Income","Budget","0.611017451285252"
"COGS % of Income","LY","0.610820434315276"
"COGS % of Income","Var to Budget","8.69369065996661E-05"
"COGS % of Income","Var to Budget %","0.000142282199005606"
"COGS % of Income","vs LY","0.000283953876574983"
"COGS % of Income","vs LY %","0.000464872916200474"
"COGS % of Income","YTD Actual","0.611104388191851"
"COGS % of Income","YTD Budget","0.611017451285252"
"COGS % of Income","YTD LY","0.610820434315276"
"COGS % of Income","YTD Var to Budget","8.69369065996661E-05"
"COGS % of Income","YTD Var to Budget %","0.000142282199005606"
"COGS % of Income","YTD vs LY","0.000283953876574983"
"COGS % of Income","YTD vs LY %","0.000464872916200474"
"Gross Margin %","Actual","0.388895611808149"
"Gross Margin %","Budget","0.388982548714748"
"Gross Margin %","LY","0.389179565684724"
"Gross Margin %","Var to Budget","-8.69369065996661E-05"
"Gross Margin %","Var to Budget %","-0.000223498218331176"
"Gross Margin %","vs LY","-0.000283953876575038"
"Gross Margin %","vs LY %","-0.000729621752045097"
"Gross Margin %","YTD Actual","0.388895611808149"
"Gross Margin %","YTD Budget","0.388982548714748"
"Gross Margin %","YTD LY","0.389179565684724"
"Gross Margin %","YTD Var to Budget","-8.69369065996661E-05"
"Gross Margin %","YTD Var to Budget %","-0.000223498218331176"
"Gross Margin %","YTD vs LY","-0.000283953876575038"
"Gross Margin %","YTD vs LY %","-0.000729621752045097"
"Gross Profit","Actual","3807592818.73"
"Gross Profit","Budget","3732643985.82"
"Gross Profit","LY","3664855221.3"
"Gross Profit","Var to Budget","74948832.9099998"
"Gross Profit","Var to Budget %","0.0200792878170873"
"Gross Profit","vs LY","142737597.43"
"Gross Profit","vs LY %","0.0389476770051964"
"Gross Profit","YTD Actual","3807592818.73"
"Gross Profit","YTD Budget","3732643985.82"
"Gross Profit","YTD LY","3664855221.3"
"Gross Profit","YTD Var to Budget","74948832.9099998"
"Gross Profit","YTD Var to Budget %","0.0200792878170873"
"Gross Profit","YTD vs LY","142737597.43"
"Gross Profit","YTD vs LY %","0.0389476770051964"
"Income per Active Product","Actual","3916313.481684"
"Income per Active Product","Budget","3838366.526368"
"Income per Active Product","LY","3766749.895876"
"Income per Active Product","Var to Budget","77946.9553159997"
"Income per Active Product","Var to Budget %","0.020307324686305"
"Income per Active Product","vs LY","149563.585808"
"Income per Active Product","vs LY %","0.0397062693150263"
"Income per Active Product","YTD Actual","3916313.481684"
"Income per Active Product","YTD Budget","3838366.526368"
"Income per Active Product","YTD LY","3766749.895876"
"Income per Active Product","YTD Var to Budget","77946.9553159997"
"Income per Active Product","YTD Var to Budget %","0.020307324686305"
"Income per Active Product","YTD vs LY","149563.585808"
"Income per Active Product","YTD vs LY %","0.0397062693150263"
"Income per Trading Store","Actual","349670846.578929"
"Income per Trading Store","Budget","342711296.997143"
"Income per Trading Store","LY","336316954.988929"
"Income per Trading Store","Var to Budget","6959549.58178568"
"Income per Trading Store","Var to Budget %","0.020307324686305"
"Income per Trading Store","vs LY","13353891.5899999"
"Income per Trading Store","vs LY %","0.0397062693150261"
"Income per Trading Store","YTD Actual","349670846.578929"
"Income per Trading Store","YTD Budget","342711296.997143"
"Income per Trading Store","YTD LY","336316954.988929"
"Income per Trading Store","YTD Var to Budget","6959549.58178568"
"Income per Trading Store","YTD Var to Budget %","0.020307324686305"
"Income per Trading Store","YTD vs LY","13353891.5899999"
"Income per Trading Store","YTD vs LY %","0.0397062693150261"
"Net Margin %","Actual","0.0815597019027837"
"Net Margin %","Budget","0.0819142734827652"
"Net Margin %","LY","0.0820743174699426"
"Net Margin %","Var to Budget","-0.000354571579981533"
"Net Margin %","Var to Budget %","-0.00432856894050504"
"Net Margin %","vs LY","-0.000514615567158871"
"Net Margin %","vs LY %","-0.00627011692600837"
"Net Margin %","YTD Actual","0.0815597019027837"
"Net Margin %","YTD Budget","0.0819142734827652"
"Net Margin %","YTD LY","0.0820743174699426"
"Net Margin %","YTD Var to Budget","-0.000354571579981533"
"Net Margin %","YTD Var to Budget %","-0.00432856894050504"
"Net Margin %","YTD vs LY","-0.000514615567158871"
"Net Margin %","YTD vs LY %","-0.00627011692600837"
"Net Profit","Actual","798533400.31"
"Net Profit","Budget","786042513.42"
"Net Profit","LY","772883566.96"
"Net Profit","Var to Budget","12490886.89"
"Net Profit","Var to Budget %","0.015890854090898"
"Net Profit","vs LY","25649833.3499999"
"Net Profit","vs LY %","0.0331871894377169"
"Net Profit","YTD Actual","798533400.31"
"Net Profit","YTD Budget","786042513.42"
"Net Profit","YTD LY","772883566.96"
"Net Profit","YTD Var to Budget","12490886.89"
"Net Profit","YTD Var to Budget %","0.015890854090898"
"Net Profit","YTD vs LY","25649833.3499999"
"Net Profit","YTD vs LY %","0.0331871894377169"
"Net Profit per Trading Store","Actual","28519050.0110714"
"Net Profit per Trading Store","Budget","28072946.9078571"
"Net Profit per Trading Store","LY","27602984.5342857"
"Net Profit per Trading Store","Var to Budget","446103.103214283"
"Net Profit per Trading Store","Var to Budget %","0.0158908540908979"
"Net Profit per Trading Store","vs LY","916065.476785708"
"Net Profit per Trading Store","vs LY %","0.0331871894377168"
"Net Profit per Trading Store","YTD Actual","28519050.0110714"
"Net Profit per Trading Store","YTD Budget","28072946.9078571"
"Net Profit per Trading Store","YTD LY","27602984.5342857"
"Net Profit per Trading Store","YTD Var to Budget","446103.103214283"
"Net Profit per Trading Store","YTD Var to Budget %","0.0158908540908979"
"Net Profit per Trading Store","YTD vs LY","916065.476785708"
"Net Profit per Trading Store","YTD vs LY %","0.0331871894377168"
"Opex % of Income","Actual","0.307335909905365"
